source,sha256original,benign,sha256,family,malware,qtdvendor,apidetected,paramdetected,tracedetected,identical,similar,new,deleted,similarity
repack,41585E97B366069F4C87786AFE6EE06109ED52279EC113FC531C261BDD67139B,True,659BF733F49DE6C565C17AEB44C204E6A26546F06EDD45ED696741C2359C5CB7,None,False,1,True,False,True,1877,0,38,0,1.0
repack,4AD2BC8AEF22E28214AAA2D2D5CE86317E17D2058E382294483C4172BF732D7D,True,6E4DE5CB1217FD7C563F1C7427FC44C62D1F5139F538065D79AC85DA4F42E5CE,None,True,5,False,False,False,15260,1,13,13,0.999083409715857
repack,41C8DD4213AD2B02ED56D6A5994BF487E3AB38BDD63D0FA1CDFA7AB75F716E06,True,2B1E89306282DCE25D49D5F80350FA9A15C67005C8B93DFBDE4A2A2B4E7AFFC6,None,False,1,False,False,False,68,1,0,0,0.9855072463768116
repack,821368EF829F23FA0F5F542AC5E097301EE3DF8EA911743D659BBE598CDF082D,True,42D76C5DD679F72D40FD7976BAE731C5A3DBF22E4168891B508F2D1399092CD7,None,False,0,False,False,False,384,84,1,0,0.8205128205128205
repack,247388DB916F8E8D7777F976E4E11C05B2A0CBA0C15F658BAD094C805F488C2A,True,BDAA2ADF4F747A7BCED2B62B8DCB34D59801DEC4C1348D41E432C072EC804536,None,False,0,True,False,False,33,7,5898,65,0.3142857142857143
repack,C588B01D2F9EC3332280E8D14122DC30EDE70D7C7B22E47EFFAC5987CA9561F7,True,83A29BE619D7A820873B1806088FA0F8E426A3FB1F7DDD2AA76F28FAA5B87512,None,False,0,False,False,False,1814,30,67,29,0.9684997330485852
repack,4357A4B47C7173D4E97FCC2BE7DF30F25677F74380CFE6404C7C3933497CEB72,True,DE97C2133CD114D285D01D369FFDF18DB8B59E292A834E419C700AAC345805F4,gappusin,True,22,False,True,False,131,2,0,11,0.9849624060150376
repack,43827BAC3A2E4E42CB9159B5647D11C447C313F49A2AEA306DF1AE4AE5F79A51,True,23302AC705A194C87AF981CCB9AB6AFDED055DFE3B2C7B3C00252A76FAE64671,None,False,0,True,False,False,1975,136,298,363,0.8198422581984226
repack,43AD4A99D8F618B99B33E296A3EE6BE71AB15D34CD15CDDEE05E208D5CD5D09C,True,56A72528254FA903F8D0DEC64C1384C2B86544B8974E221C82981BD09EE25D74,None,False,1,False,False,False,2937,77,22,29,0.967391304347826
repack,889200B2698D1D27EC67E1518FD3CDE56D7EF4F47CE7C78CC0F709FD64C88FE5,True,F49FBDDF5DCCBF166CC35A2BFD5AC26E61E7ACB4C0CF7FD7EEE5482F9AE385EE,airpush,True,18,True,False,False,2782,0,892,7,0.9974901398350663
repack,889200B2698D1D27EC67E1518FD3CDE56D7EF4F47CE7C78CC0F709FD64C88FE5,True,1563B83AD297476272B1356DD34F9F5AAF7C6DD48229CBBEFF0492807DCE491B,airpush,True,19,True,False,False,2782,0,892,7,0.9974901398350663
repack,44076259B277B787735E9DF25457C0F6CBA8F489AAA118A48EF2DB66F39B6708,True,0D879F500A008CDA46462390A3617968666F7FD64339B56AA0BCCAECC34544E5,None,True,3,True,False,False,1734,106,56,2,0.9413680781758957
repack,56C42A147AB692F6F501BFA761BB9C4992D06DBAB07B9F647319D1D33B81E398,True,F3F1123CFD6FEB5005291E96CE131E538B64D7D1D5F5903736FD43CD5D412ACD,None,False,0,False,False,False,8024,1,11,11,0.9985067197610752
repack,4426A73C44557A459414B809AB425AEB0DD71ECD43CC766FEFD6253B1138CA8A,True,9735B4DED87D0C3E296C46EBA0531411F2E7743937BD56700D37E965F2DC8387,None,False,0,False,False,False,2497,0,11,11,0.9956140350877193
repack,E81C58AE1A68DA0A825107B6599A8B0AA5ACA008D6EA84EA87D306D2AE899E5D,True,2C234B867394C365D6A2E9BA452AC3F6983741E5B445E27A5407D090406C593A,dowgin,True,31,True,False,False,670,1,478,0,0.9985096870342772
repack,44387D09FC072D88A777C019D4ABE78AEBAE5404EB7C3027AA36A7BA4FB95554,True,E53F8755103A3CB3AB02366838F66EC65690CA43F483567D073F3469F30B2BBA,None,False,0,False,False,False,3088,1,8,8,0.9970939618986115
repack,EBC6DAEF0DAA0267A88D5C22B9C89A5723453DC92B84CEE4E01FB386718F924E,True,46DF2BE7ACCB84B9120C9D0E6DACBCF37EEF15D8A5A662373F8FC2B6EDC1223F,None,False,0,False,False,False,1125,106,124,100,0.845229151014275
repack,446197287A7F98A17A9AC0ACC7C2E62C8DC4A3466531DA5BF3391EB7B4570B94,True,F27B70C4986F34D7F30B166C2949C9ADA5137558AB1149CA7E55FB4506C1CEE9,None,False,0,False,False,False,4094,1,168,168,0.9603565564156697
repack,4467F24B8ACE03AB45BA836996FEAFC1725B6CCE4F44DDB76CE3E521B4E67765,True,0E37C5FB72CB4448B777FB12E90DFAD38CCDA2B50B028F6F73748CC9B28C1093,None,False,0,False,False,False,1279,116,420,202,0.8008766437069506
repack,CCAC0E0A2A0A836F77E2AB0A4516BBD6ABA18F0F918DA0665CD3A80E42732E94,True,5D69AAFAE9A4A57D534D8C095345ECE5BEA568603F9216E39BD48302C1BD03E9,None,False,0,False,False,False,16990,52,158,158,0.9877906976744186
repack,6CAA40E2CC1BF4FB139C1E90ED810891387B5AC2BB1E4017EB2B4DD08F04C47B,True,B4B5E9550C40A2F66313345FE0519D4225E57F00B21CF87D763A74ADAD25B4DD,None,False,1,True,False,False,8070,82,1049,40,0.985107421875
repack,F433E4B2DF990D96D4D060EB077E29A5A74B0CB794BC105FD696BAA217D5ACC4,True,BF930235FDAF018BD2C6CC787C1F07C89DB443253735A5842CAFED2E5F16C757,None,False,0,False,False,False,0,0,27,28,0.0
repack,44DE9FEDBD39F0F3D101FD04C7B631E33637251752BF436CDC1700BF8CA49D3D,True,015CE786C5DE0D32BCD10B41D1B94960A17FD91A99BD3FE7EEEB407B1FBBA3D1,gappusin,True,15,True,False,False,517,1,9,0,0.9980694980694981
repack,EA4845460FFA4495B593C40BD5ABA6A728BF6960A7E8B991EFC9E7C117940576,True,34DB64EC96836D0392B04D9C4E606320D18E69073A5192E05C8EFC29539399D6,None,False,1,False,False,False,1496,33,9,166,0.9726918075422627
repack,D1D17D3D9BCEC245E628E2E82F2B6DF506CC573CA32E32AE890159A8CD91BAC1,True,F86F504B71858FBCF742A607FE91A88635C0A825C3B3DE6CC28C0F990F863390,None,False,0,False,False,False,902,62,43,40,0.898406374501992
repack,C9B72945AE40563088676844469A93CD9BA142A81E1B7475421931254413C89A,True,A41CDEFB119F72795752758852B33AA1AC704E0C7D6A95B48B574CC78C5DA40D,None,True,2,False,False,False,588,96,590,275,0.6131386861313869
repack,4521BC53DF7B9C43C0130688F9BE823A1536FF94290FE61381238FD3441C8DEF,True,98AD4EADA169062BE920BCB06D3FF261737A700148A7A957E7308D20EEC18ADF,None,False,0,False,False,False,337,28,0,6,0.9232876712328767
repack,1A5FB92752793C2453A5345B7E6D3521E2FD3E9FDB50D2813478B3B20E1E9E95,True,19C29AC0167644D32AD54A53AF2CB7922C41407BFF7C4F518D1ACFABDBBF12BB,None,False,1,False,False,False,1148,13,9,54,0.9811965811965812
repack,D845A1D7B3D77677160F60320375E5BD5FE624BB8651D2AB1F17E32F1939A4BA,True,F0DAAA26F2943E4D6196BBC248260B53626AA2982A87EFB3D4F458A86DD35A3C,gappusin,True,25,False,False,False,17,1,1,6,0.8947368421052632
repack,4557A262349FAC24F25021A2059F78C2227DA63A72437A66F67967A33D73EE35,True,09511A1FA1995FAE2929E36B0815598921538F04FFECF3DF6664BDD668AAF277,gappusin,True,21,False,False,False,3887,1,1,6,0.999485728979172
repack,EA2831006BC3BB1BA6CD40500D9D7F59782BE5A2DD07E5CC86E4500EA433BB39,True,D978794C4206C460456A8C2C20ACA4671D5B614F117CF0C4256D43634BEA8AD1,plankton,True,23,True,False,False,16,4,4520,11,0.5161290322580645
repack,45AF9A0333C52293E59D06DD5A29F58844E66F034443F66288C78A4C0DB94DFC,True,232D87CE6B5558CBEA346AC62202E472568C57FAB62D2D40ED38BA46C332C8FA,None,False,1,False,False,False,3271,1,1,6,0.9993889398105713
repack,45C362E04AEA611EC00F85D8F699970CDF7B00C573AE23803BE3383A6114BB63,True,CDB3D9D9DF173DD096E87A7EB90D91EE75ABEDB8EF75E4390A85982D589FA43C,None,False,0,False,False,False,848,0,9,9,0.9894982497082847
repack,EFCDD9DC212DBAAF0302F8B8F5A60E73E5329B1E99AD9D3DD00C7DF4DCF94011,True,B1DCC6FC72AEDD34156E7A17B8E72B0E59F6887616257056E0E4CA669857FA7D,None,False,0,False,False,False,11543,1,16,16,0.9985294117647059
repack,74B98F83108984DDF20A8E39DC79D53263DA136E4DF4655660ECB3DE8F5FCF7F,True,C3CDDD8D8FE0E122379951D6864B6FE89A0EDBD65745D5761B98AD702BA8376A,None,False,0,False,True,False,1391,14,11,11,0.9823446327683616
repack,468D78773413960CC6B0D532CC8E50340650094D01692D26A5E70ED41DBA0FD1,True,32DADFC7AC984D35C93CF65B17A06C6BA00BEC86A67C8ED2D19603AC0E3E82DF,None,False,0,True,False,False,702,5,2157,0,0.9929278642149929
repack,248D7BA450785AEDFFB84FA4A1535A8EF1D5F63F50499AE71C7FFE0CDDE778F6,True,7FB7A2173006B7140CF1818A95450BE337C096DA77BA03C87B12C7A6DB38940C,None,False,0,False,False,False,1395,3,0,0,0.9978540772532188
repack,46C9703F7F89109255157A1911CDEA53BC61A38C92B4201C36DFEB3312DF80D9,True,8EAC8CD8D5A3F02B477C9AD620D278D59E518616733326FCFFE67834AB687CF9,basebridge,True,45,False,False,False,673,10,51,0,0.9853587115666179
repack,8E3EDAF71B194051629F57A0D03E93D61703951DEE3E5D8B107CC7E124ABD5AE,True,D55660620A1D9FB140A301B26BB33474CE200FD5FA13C616E5FA7105732DB9F5,None,False,0,False,False,False,2173,3,29,29,0.9854875283446712
repack,46D6E0FBA334B089B60A35A4822E8BB6C5E0A8BACE329F4E664C06A07C2FAB90,True,5C4E44AF203B7FB3634F043256F67F5E03965458F507638FBA54554EEB28C41F,gappusin,True,19,False,False,False,2637,2,0,11,0.9992421371731717
repack,4708D80ADE52097E7304D11B80D0C428D867330C676A3544484066B09D250917,True,3AE8B744BB439F1C75D3CFF454E62E8E90A9B849AAA0F43A6513ECB801B0B561,gappusin,True,13,False,False,False,2309,4,0,23,0.9982706441850411
repack,FCC39B4910B082A9CDE85F660AE27DEE2E858B959BFFA4592E90C6D554FB54B7,True,39EE4AEA15463021F481830149AA31377D2CA52E4F45E43D6C9F2C8B1C08DF9B,None,True,2,False,False,False,5678,162,104,292,0.9552489905787349
repack,FCC39B4910B082A9CDE85F660AE27DEE2E858B959BFFA4592E90C6D554FB54B7,True,43EBB38117500CE3217CCF914E9EF04FCB79E5DFF0AE8115CD7ED88A3DFED5EC,None,False,0,False,False,False,5693,160,93,279,0.9574503868146653
repack,474DE1148EB54E28E24AB7AE70C705EE63E718EB7EFB1FB5396E04209C22D589,True,1178F62B457018EF924FC6699FE6BFC4D27C4BDC8B99C0F9DFD5716FEF4B8D9A,gappusin,True,19,True,False,False,751,8,204,154,0.8225629791894852
repack,E9EAFE9CE28C0DBAFB5CA2F8F1B54C8887E36ABEC1D6EA63B8E8CFA2AE2DE5F4,True,1F47A428E4622B57FAE4469FE3C7A03B32EB78675C2D2D8055BEBF80947D72E3,gappusin,True,23,False,False,False,64,2,6,15,0.8888888888888888
repack,4820A22BA211D3338C7A26FF2920E9E898B259FD935AB70BAAD8849EF79BE95F,True,1AE1BB0074BFD6B4FDB46A922ECBA0B821FE95E5ED828C79EE803CC6D2C45964,None,False,0,False,False,False,1905,0,14,8,0.9958180867746994
repack,4829A8F285CB0BA386FE00D3E8F329E32ABD8CD879EE59224B9B78955F3E1DA9,True,FB0CA6B1646E8882DC11FF4E30D33090C9576466C897694D371D5A5DE116B406,None,True,2,False,False,False,743,9,0,6,0.988031914893617
repack,C541057ECFFC96010B972621FB9730351E22BCB0949E85780C302FBFA392803B,True,85468C94EC2ABB51AB141E542CE40FB74B68EF9007E35A6AE5CD1A9AA0C6F9F8,None,False,1,False,False,False,1549,36,31,15,0.968125
repack,48D9492ABE9CD5E4A9BEB9DC9F7FC826E6434EB0308232D123B7203CDCFF8971,True,5822F4E451CFBF4F6BF8B38B8C97AC7E6A4821F9D287DB6E194DC47567BDF235,None,False,0,False,False,False,1547,47,45,65,0.9438682123245882
repack,1A5FB92752793C2453A5345B7E6D3521E2FD3E9FDB50D2813478B3B20E1E9E95,True,82A78FBFE39B6F469E9A191C1C43C5DB75905E68506516FA100CD50DA7FC727B,None,False,0,False,False,False,1160,3,2,52,0.9957081545064378
repack,C541057ECFFC96010B972621FB9730351E22BCB0949E85780C302FBFA392803B,True,E2576EA8386BAA2D4818E928F39EB3FAF27FD4615ED42A6FC6D6F14A1CC8CD6B,None,False,0,False,False,False,1549,36,31,15,0.968125
repack,49C537F848421FF82BCB8C35BF17503BB84CBFCC4A2A7CF57CB5349277DE8C12,True,1583589CB78E1322CACE51495EF1EFCE7F90B08ECFC0EDAF9FC6DDFB21021879,gappusin,True,20,False,False,False,17,1,1,6,0.8947368421052632
repack,8835A25DCCDC68ED0B7D88D4E331DC082110150079099591CE6FD887610D9BF9,True,618A8A9A875F33003D21042E2ECBB7FA11AAAA14AB6D90575D66B5CE0E56F13B,None,False,1,False,False,False,8199,14,19,28,0.9959912536443148
repack,49F78C106E7B746C220E084B0978D2FBA576646D2EDBC8710C2A3981A09E5B31,True,2F7D124B5BFD4F6A4453EB57BCAEC12BDD68D85B910463270071741A4FE4C46C,gappusin,True,17,False,False,False,266,1,1,6,0.9925373134328358
repack,1BF67BF9F7415B4734CE550196D2174DE429F7E3EA588D8F23900E4168489DF1,True,54323987E715C57E630553307465D56D0BE4C13991B26A37E78EDFB8F78AF7F5,None,False,1,False,False,False,2101,0,11,11,0.9947916666666666
repack,4A2760C81B31538F5E19501EA663B3F1A8970134C537E7BB6F2D4EC164152631,True,0AF48FA5424C453CA025DD1B51FB2B91BBD7A2E07A47D4F805C6DF40214F37DD,gappusin,True,23,False,False,False,1919,1,1,10,0.9989588755856325
repack,4A38D1B9CEFBECEE29AA14C271D78F98FA19D4B3802019A8F1F306B6C2E1625A,True,CA0331316862ADCFA233D51633E7F4E7FABF3D7282CB16A7FBF0FEC7420B7DA7,None,False,0,False,False,False,780,26,51,11,0.9547123623011016
repack,4A3C11F23EC13B30F493BE325907423910CF5C526D662E13896FC9FE50E0E84A,True,F4F893E78A045FA4F24E22E4C44CC2B12B23CC4DE51E2C9F4E3265F12EBCCB47,gappusin,True,15,False,False,False,1167,7,1,10,0.9931914893617021
repack,248D7BA450785AEDFFB84FA4A1535A8EF1D5F63F50499AE71C7FFE0CDDE778F6,True,4940545E76E4B24F18F7EC685ADE8E2B80E66CBD8EDA730C94E7B6CE865C46DC,None,False,0,False,False,False,1395,3,0,0,0.9978540772532188
repack,4B0ED271BCDE27C993C8161B09D0D91ED257200EA01F46432A39EBBF29AC5578,True,45F51EA3B349230B95B6AD50775201FCA5D7F33E04713AFBC0A04EFA8F35ADBA,None,False,0,True,False,False,2084,118,4074,548,0.7578181818181818
repack,4B1656BE2C3B7DEBFAAAD28F7E0B962D141163260C740FE765D8A9492AAF3F84,True,DFCC92F056A275A2400E94CB239447834FC21BF58F5F707008DB8F1BA3268718,None,False,1,False,False,False,1470,10,54,2,0.9919028340080972
repack,4B1A96AC06BA2F6DAB779B0D58FD1C811B8E3273DBE82C2E3026A41EA2776E5E,True,7F8A352E46DF9999A0B5F9169218F42070029DE41D48F836FE2077BEF1CD03DA,None,False,0,False,False,False,348,2,0,0,0.9942857142857143
repack,4B2C81212B606C5385178DD3149EF285E5AE950A9D6EA1914D6A835F8FB5BE24,True,FB9D51B6D63A6AEB1399BA80494D50B4FBAC1399A49ED751D7F946449B3C399C,mulad,True,3,False,False,False,2564,0,10,10,0.9961149961149961
repack,4B49BCB6B24BC691AC867C467EC6CAAC2D9C367F06A8FDB75B03D03F51472C50,True,B2374572C3EB2866EE627A88B0F957BF3C3BF2B11A4E33353D9139BD88388C31,None,False,1,False,False,False,541,15,424,8,0.9592198581560284
repack,CC13B0F71908C5F53856D1F3FD485160F91F4001A63029B30D1099025F51FAB9,True,C2184A2E06838AF1112B128886688CEFE61E6C86871D4BEBC0AFDA76CA7D4473,None,False,0,False,False,False,6410,3,0,0,0.9995322002183066
repack,4B5797815BACFD2CE5604B5A91AB04A750D730D6C4D0F24FDBD8A9829138A2CC,True,36E8ADED791DEF3E0576769ABBACA8E0459C75EB7973CE6960635F543D257E59,youmi,True,18,False,False,False,5403,166,62,34,0.9643048366946279
repack,4B631606855BB97DEF2B90F4F25639673C66A358FF6507815D2E8E5AC01F323D,True,0894ACC28F45C97FB24600881E1682AE9B49030969F3FD99B72B13907F5DFB70,gappusin,True,23,False,True,False,270,1,1,6,0.9926470588235294
repack,C4EF4B66B639ED8FFFB2B517EDB4FE832D57A53C8D1A439FC5B24217F47D719B,True,9F8F6DE98492AD8455AA1DDECD5C3EC1C9B708F1A9D1CC14A29F98AB44856415,gappusin,True,16,False,False,False,2944,1,1,6,0.9993211133740665
repack,4BB2D9724676CE1D56860F68928456F30F961E5CB81934000E9B4A08179104BB,True,F940508BFA60A98B9445E3A9B1AF06CEF9CD948F1A29D5EE44FB718E176C3976,droidkungfu,True,41,False,False,False,5251,2,10,0,0.9996192651818009
repack,4BCE5C876A6D52041C2C2EE2205DDA97A93131F5B939A3531E340F72597D67FE,True,EBF217CABA75C6D2D67861325D2BBDB959A7B85BB38800B1634C94984F40D9FF,None,False,1,True,False,False,1122,27,1578,55,0.9318936877076412
repack,F6789D09B53A51A8389B480FA43D2331177CA547107D0D588C6CA5C1A4796207,True,6A494C33D7B04082FEE02A44A261D4119D151D57CB241C7CA2FCD3C0940BCB0E,None,False,0,True,False,False,78,5,9,9,0.8478260869565217
repack,4BFD16D2CB58AC68A0F928E99BD8E1D6ADA59CD2E1D3C670824AD45C74828148,True,28DB364E5732BC3FF625665F6B21AA803ED9B0C0DBE0642D4B2FEE07416A1AD1,None,False,0,False,False,False,41,2,12,18,0.7454545454545455
repack,4C049B011B39B6EA1B584A55E309FC756D9C0ED343EB22BA1DB14E0AEBB8293A,True,FF2E714CA7C12E20C4464102A05B50E84062F3D7078949D49ACA8939F6B01F37,None,True,4,True,False,False,957,172,845,282,0.6782423812898654
repack,4C14D9111FD84E2C2124212BCF56198B5672F3840665337A98CCC86F5453C123,True,BEF3927C6F63D78843778994031A3C372F4F65DA7D902BD5E45A79E3C0ACBB30,None,False,0,False,False,False,398,4,7,7,0.9731051344743277
repack,E2EA4DCA34F02ABF51FDD6B077EDA61CA11F52FF0F7E3C94FFA21A81A6ABA8AC,True,606A70F75731BD8142212707DAA39BC20B6483485BAAF2DB01F55A716F5528C2,None,False,0,False,False,False,415,3,2,0,0.992822966507177
repack,4C39040BCA65343BBE5C17A4BA7388B294559CFFC8B1CB9A2EB4115F1C188BC5,True,3D85630CF2E0697AFFC2ADA8EAF2AC9A2E60F8C955AC996FA28BB4EFBBE2E8D4,None,False,0,False,False,False,231,2,0,1,0.9914163090128756
repack,4C3C0C2D445BEF3DE5D5FDE0D37E7E32B51531BB383558E1A3F4C03DE01BA472,True,BD87124180BA1ED4E4D91F362E21DB8DFBAAB1D4D5714A57C630A2BF3FCB3AC3,smsreg,True,16,True,False,False,161,7,2650,29,0.817258883248731
repack,CCBD096E1D831191155A12D0BD61297F1DAC141FC45D80D74065BDE6ECA73F46,True,7720A0EE25D9C6B995578E6E808B1A13C811796EEF56DB46B84A1484B829967B,gappusin,True,16,False,False,False,1075,2,0,11,0.9981429897864438
repack,4443A00DF7AB7B6D0ADB71B396A2FB465EC43F08A7CA4287C94BC3311D4CEE76,True,A3683E6E44EA636B1B3D7AA0730DF29BBD1F48A12AFD27EA17D8631C2DFC29FC,None,True,3,True,False,False,729,9,506,0,0.9878048780487805
repack,4D05F55E4CB3C50AFD7DBD3284ECC455DE801056236BBF0B825CE5C08CBCF231,True,0218D0E654A3B816E4EA5B040581C9D3B0BD64ED0D35DAF6BA9A779C958E8F28,gappusin,True,23,False,False,False,1082,1,1,6,0.9981549815498155
repack,4D183733031BAA400F12B6472B9B09168C9D9D5528812A8C18C6CFB121342DEC,True,6A84957C96480BD91F56AA16328F68B0A521ECD26DAA121E77AF5D8D3ED80CAB,None,False,0,False,False,False,1864,0,14,14,0.9925452609158679
repack,EC30B3CEDBDE5609080BEDEEDFF0AE6017006581F91B7DE4F1066F563C3F1E57,True,B9CA5C433B1DC1EEC5528804974CB773BC8BBD7B4011E8A6BD44F70169AD755A,None,False,1,False,False,False,3371,0,6,6,0.9982232750962393
repack,4D86187C35BD2AEC254662B7E720427DFF75858983EEA2CE91171E5FCE4F6F6B,True,B024184C01E6451DA672CB6D341F6259C10F171272BCB06BFFB9841117CB1E14,None,False,0,False,False,False,5054,97,25,18,0.9777519829754304
repack,F6D1A556667FE693A9E0C110D8680389CC4E443305774DB30B034D89E0AA9A51,True,D6371A93F748F282A930BECC647FB2CAE5669833BA3A9F900AC01E51E01D667A,odpa,True,3,False,False,False,1823,59,16,11,0.9630216587427364
repack,4DCE5AA7B64FD1BAA186F0772EF1F681B38F51D0FC0211744B377A7444B2170D,True,18DA1A0CDAE1D5040FD2C61465C149E29C53A4E5A9AEB916A27E5A4089E06B5A,None,False,0,False,False,False,182,10,22,18,0.8666666666666667
repack,EB6053C5BCD38C5C73E636C1F125F01044E85B0486572DF0F676EA17ED0DDD8C,True,6DD8D7BC7FE9F14A59F14416FC4AF14021F076B11E80415A5834C508DDA64878,None,False,1,False,False,False,11818,2,1,10,0.999746214364267
repack,7778C8ABDAD5A39E76841AEA9993E1FBAB36C945636F3D42F8FC30F30ADCCF56,True,2CD4005FCF83F4B426F6EC6937AC34FC59873FF41FBBD48A0CB7FAE01C53943D,gappusin,True,14,False,False,False,6108,1,1,10,0.9996726677577742
repack,196DE4E24104201808B28A918D3741281A1D71915D4ED6E78F2D8EFCA5B91583,True,BD22037A77CF1DEBABF237C998E84BBFAB1E634D87E107C7D0926DEA69BEBD7E,autosms,True,11,False,False,False,5895,77,22,29,0.9834834834834835
repack,4E8C2C82B026F51B001663DB29D0B3F42A3ED5D95FBA0457FE36BE47F0DF1A67,True,045952D31AAEF61AA31001C8A09F4130FED11D1BD18F8904BB036A07862E8996,gappusin,True,12,False,False,False,597,2,0,0,0.996661101836394
repack,4F01F731B29BCCCEF5502B0B0F9FDFB7C1EC33145B77140127A888D4F3AC09FB,True,16218A85C238857531C251EF17717E26B5D9DB00C2342BCDE6726AE43C7A0B08,gappusin,True,21,False,False,False,17,1,1,6,0.8947368421052632
repack,4F02D9C2A2336685C8200C1774B614A75955013C9BB948E6AC4D32A48EFA11A7,True,F827CD4E40706CD90FA6BA05EF4C875CC2F91F870500BE550877560EF00D4AA3,None,False,0,False,False,False,1839,0,14,12,0.993517017828201
repack,E7E280CFAED0FBF097BD2DDD25A36FD4E30AA5D7B6D9398139C0AC3575609A01,True,56F0FE63049BCCE8C3A96C791BB2CC867A040FF9F67718BA51E4A148EF58286C,gappusin,True,15,False,False,False,409,2,0,11,0.9951338199513382
repack,E9EAFE9CE28C0DBAFB5CA2F8F1B54C8887E36ABEC1D6EA63B8E8CFA2AE2DE5F4,True,1C00538254BF4EE32F757B9682DCBD8111582DE2B1CBA035D8312804CF3DF292,gappusin,True,20,False,False,False,64,2,6,15,0.8888888888888888
repack,ECF23C303753144165CDCE1FBBC5C62310932DDE8C0ACDB1E27817F6EDD5EE2B,True,C7810695DE8271D28DB7173A8A93B839CAB197920DC088E7B39046AB2452EF29,ginmaster,True,31,False,False,False,3809,1,51,478,0.9865319865319865
repack,4F629B8C6336DC9AAD8E3FACE8739BC99223E14BA3C19A96134A94E4749BAEB5,True,8B2264F025B0B4D261F3CF3F1E01CBE8439E0C582642CE46CF23999A356CA2AD,None,False,0,True,False,False,7507,35,163,197,0.9743024010382868
repack,248D7BA450785AEDFFB84FA4A1535A8EF1D5F63F50499AE71C7FFE0CDDE778F6,True,77D77FC5983283E9B8BDD8CAB2EE7E1F7607117221680508791AE8F068DD0413,None,False,0,False,False,False,1395,3,0,0,0.9978540772532188
repack,C69892AFF771481B579E2B220C8C31818FC5CD8ED4E0AA74DBF023AF7F836169,True,4415C47A7961F462C13A1D7217F81A3583410D9F9B10E43D5CD3661C69D5C97F,gappusin,True,10,False,False,False,2033,70,199,199,0.8831450912250217
